
폭염일수
[검색조건]
자료구분 : 월
지역/지점 : 전북
기간 : 1973~2022 05~09

년월,폭염일수,평균 최고기온(℃)
1973-05,0.0,22.5
1973-06,0.4,26.9
1973-07,6.9,32.0
1973-08,5.1,31.7
1973-09,0.0,25.8
1974-05,0.0,22.9
1974-06,0.1,25.6
1974-07,0.0,27.1
1974-08,5.3,30.7
1974-09,0.0,25.9
1975-05,0.0,22.1
1975-06,0.0,26.3
1975-07,1.9,29.8
1975-08,7.3,32.2
1975-09,0.6,28.1
1976-05,0.0,22.6
1976-06,0.6,26.3
1976-07,0.3,28.1
1976-08,2.4,30.3
1976-09,0.0,25.6
1977-05,0.0,23.2
1977-06,0.1,27.8
1977-07,9.1,31.6
1977-08,2.0,29.5
1977-09,0.1,27.6
1978-05,0.3,25.9
1978-06,0.1,27.4
1978-07,13.6,32.6
1978-08,5.6,31.7
1978-09,0.0,26.6
1979-05,0.0,22.4
1979-06,0.0,26.5
1979-07,1.0,29.3
1979-08,4.6,30.5
1979-09,0.0,24.9
1980-05,0.0,22.8
1980-06,0.0,26.8
1980-07,0.0,27.4
1980-08,0.0,27.2
1980-09,0.0,25.4
1981-05,0.0,23.4
1981-06,0.3,27.3
1981-07,6.4,30.9
1981-08,0.3,29.7
1981-09,0.0,25.9
1982-05,0.0,25.3
1982-06,0.0,27.7
1982-07,1.6,30.0
1982-08,3.7,30.1
1982-09,0.0,26.1
1983-05,0.0,24.1
1983-06,0.1,27.8
1983-07,2.4,28.5
1983-08,8.1,31.1
1983-09,0.1,27.2
1984-05,0.0,24.5
1984-06,0.4,27.9
1984-07,3.6,30.1
1984-08,10.7,32.4
1984-09,0.0,26.1
1985-05,0.0,24.3
1985-06,0.0,27.2
1985-07,5.9,30.3
1985-08,9.7,31.8
1985-09,0.0,26.0
1986-05,0.0,22.8
1986-06,0.0,26.7
1986-07,2.7,28.2
1986-08,2.4,30.5
1986-09,0.0,24.7
1987-05,0.0,23.2
1987-06,0.6,27.6
1987-07,0.4,27.9
1987-08,0.3,29.8
1987-09,0.0,25.8
1988-05,0.0,24.1
1988-06,0.1,27.6
1988-07,4.1,30.9
1988-08,8.4,31.5
1988-09,0.0,27.3
1989-05,0.0,24.3
1989-06,0.0,26.1
1989-07,3.6,29.5
1989-08,3.0,30.5
1989-09,0.0,26.2
1990-05,0.0,22.3
1990-06,0.4,27.2
1990-07,6.0,31.1
1990-08,11.1,32.7
1990-09,0.1,27.5
1991-05,0.1,23.7
1991-06,0.3,27.4
1991-07,2.0,29.1
1991-08,3.0,29.6
1991-09,0.7,26.1
1992-05,0.0,22.7
1992-06,0.1,26.4
1992-07,4.6,30.6
1992-08,2.6,30.1
1992-09,0.1,25.5
1993-05,0.0,23.5
1993-06,0.0,26.3
1993-07,0.0,27.8
1993-08,0.0,27.1
1993-09,0.0,26.4
1994-05,0.0,23.9
1994-06,0.3,27.1
1994-07,19.7,34.4
1994-08,8.9,32.5
1994-09,0.6,26.9
1995-05,0.0,22.9
1995-06,0.0,27.1
1995-07,2.6,29.7
1995-08,9.0,32.1
1995-09,0.0,25.4
1996-05,0.0,23.5
1996-06,0.0,26.0
1996-07,6.1,30.3
1996-08,9.6,31.1
1996-09,0.0,27.9
1997-05,0.0,24.3
1997-06,0.1,28.7
1997-07,5.3,29.9
1997-08,2.7,31.4
1997-09,0.6,26.8
1998-05,0.1,24.2
1998-06,0.0,25.8
1998-07,0.4,29.7
1998-08,2.4,29.9
1998-09,1.3,27.8
1999-05,0.0,23.0
1999-06,0.7,27.6
1999-07,1.9,29.6
1999-08,4.9,30.2
1999-09,0.1,27.8
2000-05,0.3,23.6
2000-06,0.0,27.4
2000-07,5.3,31.2
2000-08,5.1,31.3
2000-09,0.0,25.0
2001-05,0.0,24.8
2001-06,0.4,26.7
2001-07,7.0,31.1
2001-08,6.1,31.2
2001-09,0.1,28.1
2002-05,0.0,23.1
2002-06,0.4,28.0
2002-07,3.0,30.0
2002-08,1.7,28.6
2002-09,0.0,26.7
2003-05,0.0,24.6
2003-06,0.0,26.3
2003-07,0.1,27.4
2003-08,1.7,28.9
2003-09,0.1,27.1
2004-05,0.0,23.0
2004-06,0.1,27.7
2004-07,6.6,30.8
2004-08,10.1,31.3
2004-09,0.0,27.2
2005-05,0.0,24.2
2005-06,0.7,28.2
2005-07,4.7,30.0
2005-08,4.1,30.3
2005-09,0.3,27.5
2006-05,0.0,24.0
2006-06,0.4,28.3
2006-07,3.1,28.7
2006-08,15.0,32.8
2006-09,0.0,26.4
2007-05,0.0,24.7
2007-06,0.4,27.8
2007-07,1.7,29.3
2007-08,9.9,31.9
2007-09,0.0,26.0
2008-05,0.1,24.7
2008-06,0.0,27.2
2008-07,6.0,31.6
2008-08,4.1,30.8
2008-09,1.4,28.5
2009-05,0.0,25.4
2009-06,1.7,28.5
2009-07,0.0,28.9
2009-08,2.4,30.7
2009-09,0.0,27.4
2010-05,0.0,23.6
2010-06,0.3,28.7
2010-07,2.3,30.9
2010-08,9.6,32.4
2010-09,2.0,28.3
2011-05,0.0,24.0
2011-06,0.9,28.4
2011-07,3.1,30.4
2011-08,2.9,30.2
2011-09,0.9,27.2
2012-05,0.0,25.6
2012-06,0.3,29.0
2012-07,5.9,30.8
2012-08,10.3,32.1
2012-09,0.0,25.7
2013-05,0.0,24.7
2013-06,0.6,28.8
2013-07,5.6,31.5
2013-08,14.3,33.4
2013-09,0.1,27.5
2014-05,1.1,25.4
2014-06,0.0,28.0
2014-07,2.6,30.1
2014-08,0.1,28.4
2014-09,0.0,27.3
2015-05,0.3,25.3
2015-06,0.3,27.7
2015-07,3.3,29.5
2015-08,6.4,30.7
2015-09,0.0,27.3
2016-05,0.0,25.6
2016-06,0.0,27.7
2016-07,7.7,31.1
2016-08,17.7,32.5
2016-09,0.0,27.5
2017-05,0.0,25.2
2017-06,0.7,27.7
2017-07,4.7,31.3
2017-08,6.7,30.6
2017-09,0.0,26.7
2018-05,0.0,24.2
2018-06,1.0,28.5
2018-07,16.1,32.5
2018-08,17.6,33.4
2018-09,0.0,26.4
2019-05,0.0,25.2
2019-06,0.0,26.6
2019-07,1.9,29.7
2019-08,10.1,31.3
2019-09,0.0,26.9
2020-05,0.0,23.4
2020-06,1.1,27.8
2020-07,0.0,26.4
2020-08,5.7,31.0
2020-09,0.0,25.2
2021-05,0.0,22.5
2021-06,0.1,27.4
2021-07,8.3,30.9
2021-08,2.4,29.7
2021-09,0.0,26.3
2022-05,0.0,24.3
2022-06,0.7,27.7
