
열대야일수
[검색조건]
자료구분 : 월
지역/지점 : 경남
기간 : 1973~2022 05~09

년월,열대야일수,평균 최고기온(℃)
1973-05,0.0,22.6
1973-06,0.0,26.2
1973-07,4.6,31.6
1973-08,4.8,31.7
1973-09,0.0,25.8
1974-05,0.0,23.3
1974-06,0.0,25.9
1974-07,0.4,25.4
1974-08,1.3,30.2
1974-09,0.0,26.5
1975-05,0.0,22.0
1975-06,0.0,25.8
1975-07,2.7,29.2
1975-08,4.0,31.2
1975-09,0.5,27.7
1976-05,0.0,22.3
1976-06,0.0,25.1
1976-07,0.1,26.7
1976-08,3.0,29.3
1976-09,0.0,24.9
1977-05,0.0,23.1
1977-06,0.0,25.6
1977-07,1.4,30.3
1977-08,1.7,28.6
1977-09,0.3,27.1
1978-05,0.0,25.8
1978-06,0.3,26.6
1978-07,6.1,31.4
1978-08,5.2,31.3
1978-09,0.0,26.7
1979-05,0.0,23.2
1979-06,0.0,26.2
1979-07,1.6,28.5
1979-08,4.2,29.7
1979-09,0.0,25.5
1980-05,0.0,23.6
1980-06,0.0,27.3
1980-07,0.8,26.6
1980-08,0.0,25.2
1980-09,0.0,25.2
1981-05,0.0,23.5
1981-06,0.1,26.5
1981-07,4.2,30.1
1981-08,3.3,29.6
1981-09,0.1,25.4
1982-05,0.0,24.6
1982-06,0.0,27.6
1982-07,0.0,29.0
1982-08,3.4,30.0
1982-09,0.0,25.8
1983-05,0.0,23.9
1983-06,0.0,27.1
1983-07,3.4,28.4
1983-08,3.0,31.0
1983-09,0.7,26.5
1984-05,0.0,24.4
1984-06,0.0,26.8
1984-07,1.9,29.5
1984-08,6.4,31.8
1984-09,0.7,26.1
1985-05,0.0,23.5
1985-06,0.0,25.3
1985-07,2.7,30.4
1985-08,6.9,31.3
1985-09,1.7,26.6
1986-05,0.0,23.9
1986-06,0.0,26.1
1986-07,1.1,27.1
1986-08,3.6,30.8
1986-09,0.0,25.2
1987-05,0.0,23.8
1987-06,0.0,26.9
1987-07,1.3,28.4
1987-08,2.8,28.9
1987-09,0.0,25.6
1988-05,0.0,23.7
1988-06,0.0,27.1
1988-07,1.6,28.3
1988-08,1.8,30.8
1988-09,0.0,26.5
1989-05,0.0,24.8
1989-06,0.0,25.8
1989-07,2.0,28.5
1989-08,1.5,29.7
1989-09,0.0,25.5
1990-05,0.0,23.0
1990-06,0.0,26.5
1990-07,6.6,30.6
1990-08,6.5,32.9
1990-09,1.7,26.4
1991-05,0.0,23.0
1991-06,0.0,27.4
1991-07,4.1,28.4
1991-08,1.1,27.9
1991-09,0.6,26.3
1992-05,0.0,22.8
1992-06,0.0,26.3
1992-07,3.6,30.5
1992-08,1.4,28.5
1992-09,2.2,25.9
1993-05,0.0,23.3
1993-06,0.0,25.9
1993-07,0.0,26.1
1993-08,0.3,26.4
1993-09,0.0,25.8
1994-05,0.0,23.6
1994-06,0.0,26.9
1994-07,9.9,34.0
1994-08,12.0,32.0
1994-09,0.8,27.9
1995-05,0.0,22.7
1995-06,0.0,25.7
1995-07,2.7,29.2
1995-08,8.9,32.1
1995-09,0.2,25.1
1996-05,0.0,24.4
1996-06,0.0,25.3
1996-07,4.3,29.1
1996-08,3.8,31.2
1996-09,0.0,27.5
1997-05,0.0,23.9
1997-06,0.0,28.2
1997-07,1.5,29.2
1997-08,3.1,30.0
1997-09,0.6,26.5
1998-05,0.0,24.6
1998-06,0.0,24.1
1998-07,2.5,28.1
1998-08,7.0,29.7
1998-09,0.0,27.7
1999-05,0.0,24.3
1999-06,0.0,26.8
1999-07,0.9,27.2
1999-08,1.5,28.3
1999-09,0.4,27.2
2000-05,0.0,24.6
2000-06,0.0,27.1
2000-07,2.9,30.6
2000-08,3.8,30.2
2000-09,0.1,24.9
2001-05,0.0,24.1
2001-06,0.0,26.9
2001-07,5.6,30.7
2001-08,5.5,30.7
2001-09,0.0,26.7
2002-05,0.0,22.8
2002-06,0.0,27.5
2002-07,1.1,28.9
2002-08,3.2,28.1
2002-09,0.0,26.2
2003-05,0.0,23.2
2003-06,0.0,26.3
2003-07,0.1,26.0
2003-08,2.4,28.9
2003-09,1.1,27.3
2004-05,0.0,23.7
2004-06,0.0,27.9
2004-07,4.5,31.0
2004-08,2.3,30.5
2004-09,0.0,26.6
2005-05,0.0,24.7
2005-06,0.3,28.3
2005-07,0.5,29.6
2005-08,3.3,30.2
2005-09,0.0,27.1
2006-05,0.0,23.3
2006-06,0.0,27.4
2006-07,2.0,27.2
2006-08,5.3,32.3
2006-09,0.0,25.2
2007-05,0.0,24.9
2007-06,0.1,27.0
2007-07,1.3,28.2
2007-08,7.5,31.1
2007-09,1.5,26.0
2008-05,0.0,24.3
2008-06,0.0,24.8
2008-07,7.0,31.4
2008-08,3.0,30.2
2008-09,0.0,27.7
2009-05,0.0,25.9
2009-06,0.0,27.8
2009-07,2.4,28.2
2009-08,1.9,29.3
2009-09,0.0,27.3
2010-05,0.0,23.8
2010-06,0.0,28.5
2010-07,2.6,29.8
2010-08,10.5,32.0
2010-09,1.5,28.2
2011-05,0.0,23.0
2011-06,0.3,27.7
2011-07,2.8,29.8
2011-08,5.4,29.4
2011-09,0.2,27.3
2012-05,0.0,25.0
2012-06,0.0,26.6
2012-07,3.1,30.5
2012-08,8.4,31.2
2012-09,0.0,26.1
2013-05,0.0,25.2
2013-06,0.0,27.5
2013-07,7.8,31.1
2013-08,10.4,33.3
2013-09,0.1,27.4
2014-05,0.0,25.8
2014-06,0.0,26.7
2014-07,3.6,29.6
2014-08,0.9,27.8
2014-09,0.0,26.7
2015-05,0.0,25.6
2015-06,0.0,26.4
2015-07,3.5,28.7
2015-08,2.1,30.3
2015-09,0.0,26.0
2016-05,0.0,25.4
2016-06,0.0,27.0
2016-07,5.2,30.4
2016-08,8.6,32.6
2016-09,0.0,25.9
2017-05,0.0,26.1
2017-06,0.0,28.4
2017-07,7.0,31.6
2017-08,7.2,31.2
2017-09,0.0,26.7
2018-05,0.0,23.8
2018-06,0.0,27.7
2018-07,8.0,32.0
2018-08,11.5,32.3
2018-09,0.0,25.3
2019-05,0.0,26.2
2019-06,0.0,27.1
2019-07,4.4,28.9
2019-08,6.9,31.1
2019-09,1.0,26.7
2020-05,0.0,23.5
2020-06,0.0,28.3
2020-07,0.4,25.9
2020-08,8.1,31.3
2020-09,0.2,25.4
2021-05,0.0,23.0
2021-06,0.0,26.8
2021-07,4.5,30.6
2021-08,3.0,30.1
2021-09,0.0,26.2
2022-05,0.0,25.5
2022-06,0.4,27.0
2022-07,4.4,30.8
2022-08,11.5,30.0
2022-09,0.5,26.7

